epoch,train_loss,train_acc,val_loss,val_top1,val_top5,elapsed_s
1,6.277591720201285,0.005014858841010402,6.088579687173527,0.028416213957375678,0.08232344337651483,158
2,5.49734148263577,0.07522288261515601,4.413488030782365,0.20727120768909318,0.49352277475971584,163
3,4.166418226123033,0.23035846953937592,3.2933535754207384,0.3898871709151692,0.7141663184287506,162
4,3.3023908173701386,0.4010029717682021,2.7886973415714302,0.5073129962390305,0.8232344337651484,163
5,2.797082814560957,0.5196879643387816,2.5132709207068515,0.5908900961136648,0.8708733806936899,163
6,2.4857368208855433,0.6035939821693908,2.377670446201393,0.6042624320936063,0.8871709151692436,162
7,2.2731276777134255,0.6629364784546805,2.2467690457672043,0.6506477225240285,0.893021312160468,162
8,2.1097329518415955,0.7093703566121843,2.186504679049003,0.6773923944839114,0.907647304638529,162
9,1.9879786939890212,0.7463317236255572,2.149015562533336,0.6790639364814041,0.9101546176347681,162
10,1.875704208242238,0.7837109955423477,2.094965977495403,0.6928541579607188,0.9151692436272462,162
11,1.8052564799165656,0.8030739227340268,2.0696979591251665,0.7012118679481822,0.9143334726284998,162
12,1.7316594568439614,0.8264301634472511,2.0478824835863763,0.710405348934392,0.9226911826159633,162
13,1.6793663120907447,0.8456073551263001,2.015154917271029,0.71541997492687,0.9218554116172168,163
14,1.6299337423219724,0.8611627043090639,1.997722684913632,0.7258671124111993,0.9247806101128291,162
15,1.5888037619583675,0.8748606983655275,1.9837827952496934,0.7325532804011701,0.9264521521103217,162
16,1.5591103249460592,0.8851225854383358,1.9622671540890386,0.7350605933974091,0.9285415796071876,162
17,1.5406867614649735,0.8920412332838039,1.9654308425498417,0.7342248223986627,0.9239448391140828,162
18,1.5307056840071884,0.8954309063893017,1.9701450802619318,0.7333890513999164,0.9243627246134559,162
19,1.5099448234861355,0.9021638187221397,1.9648134510137523,0.7350605933974091,0.9247806101128291,163
20,1.5056784641866698,0.9036032689450223,1.9652043612392887,0.7317175094024237,0.9281236941078145,162
